,X,Y,Z,crk_nm,crkpt_id,z_crk
165,556450.0,4660750.0,287.0,stony_clove,253,274.1064753296624
166,556460.0,4660750.0,281.0,stony_clove,253,274.1064753296624
167,556470.0,4660750.0,277.0,stony_clove,253,274.1064753296624
168,556480.0,4660750.0,274.8999938964844,stony_clove,253,274.1064753296624
169,556490.0,4660750.0,274.1000061035156,stony_clove,253,274.1064753296624
170,556500.0,4660750.0,274.1000061035156,stony_clove,253,274.1064753296624
171,556510.0,4660750.0,274.1000061035156,stony_clove,253,274.1064753296624
172,556520.0,4660750.0,276.3999938964844,stony_clove,253,274.1064753296624
173,556530.0,4660750.0,278.70001220703125,stony_clove,253,274.1064753296624
174,556540.0,4660750.0,280.1000061035156,stony_clove,253,274.1064753296624
175,556550.0,4660750.0,281.3999938964844,stony_clove,253,274.1064753296624
176,556560.0,4660750.0,282.20001220703125,stony_clove,253,274.1064753296624
177,556570.0,4660750.0,283.5,stony_clove,253,274.1064753296624
178,556580.0,4660750.0,284.3999938964844,stony_clove,253,274.1064753296624
179,556590.0,4660750.0,285.20001220703125,stony_clove,253,274.1064753296624
180,556600.0,4660750.0,285.8999938964844,stony_clove,253,274.1064753296624
181,556610.0,4660750.0,286.5,stony_clove,253,274.1064753296624
182,556620.0,4660750.0,286.70001220703125,stony_clove,253,274.1064753296624
183,556630.0,4660750.0,286.6000061035156,stony_clove,253,274.1064753296624
184,556640.0,4660750.0,286.5,stony_clove,253,274.1064753296624
185,556650.0,4660750.0,286.5,stony_clove,253,274.1064753296624
186,556660.0,4660750.0,286.29998779296875,stony_clove,253,274.1064753296624
187,556670.0,4660750.0,285.79998779296875,stony_clove,253,274.1064753296624
188,556680.0,4660750.0,285.70001220703125,stony_clove,253,274.1064753296624
189,556690.0,4660750.0,286.0,stony_clove,253,274.1064753296624
190,556700.0,4660750.0,285.6000061035156,stony_clove,253,274.1064753296624
191,556710.0,4660750.0,285.6000061035156,stony_clove,253,274.1064753296624
192,556720.0,4660750.0,285.6000061035156,stony_clove,253,274.1064753296624
193,556730.0,4660750.0,286.3999938964844,stony_clove,253,274.1064753296624
194,556740.0,4660750.0,286.5,stony_clove,253,274.1064753296624
195,556750.0,4660750.0,288.79998779296875,stony_clove,253,274.1064753296624
584,556440.0,4660740.0,288.20001220703125,stony_clove,253,274.1064753296624
